id;placed_date;status;code;invoice_id;customer
1;2023-03-26T09:54:58;COMPLETED;Electronics;57858;calculate
2;2023-03-26T08:38:48;CANCELLED;one-to-one Corporate;74608;Steel
3;2023-03-26T00:06:15;CANCELLED;cross-platform Health;12251;real-time
4;2023-03-26T02:53:00;CANCELLED;Hat;10576;Square revolutionize
5;2023-03-26T09:56:29;CANCELLED;implement Implementation;23738;Bike
6;2023-03-26T01:07:50;CANCELLED;Industrial Checking Right-sized;52549;models
7;2023-03-26T01:19:58;PENDING;Implemented;30578;Home
8;2023-03-26T05:18:59;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2023-03-26T10:06:45;COMPLETED;National Program;95175;neural hacking
10;2023-03-26T09:59:45;COMPLETED;hack Shirt Walks;57700;full-range back
